date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:41	2678/2678	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22214a-3vDnRgN0awsQAH54BVY5CsDUWmc%22	https://topupgim.com/robots.txt		(from )
19:32:41	235663/235663	---MCZ	200	added ('OK')	text/html	etag:W/%223988f-6rtnz9aFrYwNaDSjhV9inwBluNw%22	https://topupgim.com/	E:/HTTRACK%20WEBSITE%20COPIER/digiseller-apin-2-js/topupgim.com/index.html	(from )
19:32:43	65/65	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Mar%202026%2004:18:30%20GMT	https://cdn.topupgim.com/assets/media/favicons/site-thumbnail.png	E:/HTTRACK%20WEBSITE%20COPIER/digiseller-apin-2-js/cdn.topupgim.com/assets/media/favicons/site-thumbnail.jpg	(from https://topupgim.com/)
19:32:43	977/977	---M--	200	added ('OK')	image/png	etag:W/%223d1-19533961766%22	https://topupgim.com/assets/media/favicons/favicon-small.png	E:/HTTRACK%20WEBSITE%20COPIER/digiseller-apin-2-js/topupgim.com/assets/media/favicons/favicon-small.png	(from https://topupgim.com/)
19:32:44	7508/7508	---M--	200	added ('OK')	image/png	etag:W/%221d54-19533961766%22	https://topupgim.com/assets/media/favicons/favicon-medium.png	E:/HTTRACK%20WEBSITE%20COPIER/digiseller-apin-2-js/topupgim.com/assets/media/favicons/favicon-medium.png	(from https://topupgim.com/)
19:32:45	5467/5467	---M--	200	added ('OK')	image/png	etag:W/%22155b-19533961766%22	https://topupgim.com/assets/media/favicons/apple-touch-icon.png	E:/HTTRACK%20WEBSITE%20COPIER/digiseller-apin-2-js/topupgim.com/assets/media/favicons/apple-touch-icon.png	(from https://topupgim.com/)
19:32:45	13296/13296	---M-Z	200	added ('OK')	text/css	date:Fri,%2027%20Mar%202026%2001:39:20%20GMT	https://cdn.topupgim.com/topupgim-dist/main/assets/js/plugins/ion-rangeslider/css/ion.rangeSlider.css	E:/HTTRACK%20WEBSITE%20COPIER/digiseller-apin-2-js/cdn.topupgim.com/topupgim-dist/main/assets/js/plugins/ion-rangeslider/css/ion.rangeSlider.css	(from https://topupgim.com/)
19:32:45	1776/1776	---M-Z	200	added ('OK')	text/css	date:Fri,%2027%20Mar%202026%2021:59:15%20GMT	https://cdn.topupgim.com/topupgim-dist/main/assets/js/plugins/slick-carousel/slick.css	E:/HTTRACK%20WEBSITE%20COPIER/digiseller-apin-2-js/cdn.topupgim.com/topupgim-dist/main/assets/js/plugins/slick-carousel/slick.css	(from https://topupgim.com/)
19:32:45	3145/3145	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Mar%202026%2004:22:27%20GMT	https://cdn.topupgim.com/topupgim-dist/main/assets/js/plugins/slick-carousel/slick-theme.css	E:/HTTRACK%20WEBSITE%20COPIER/digiseller-apin-2-js/cdn.topupgim.com/topupgim-dist/main/assets/js/plugins/slick-carousel/slick-theme.css	(from https://topupgim.com/)
19:32:45	918787/918787	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Mar%202026%2002:50:06%20GMT	https://cdn.topupgim.com/topupgim-dist/main/assets/css/topupgim.min-e0a62d0b.css	E:/HTTRACK%20WEBSITE%20COPIER/digiseller-apin-2-js/cdn.topupgim.com/topupgim-dist/main/assets/css/topupgim.min-e0a62d0b.css	(from https://topupgim.com/)
